lang,dtime,vlang,pcommit,op,ttype,mtype,memory,allocs,tmin,tmax,tmedian,tmean,tstddev
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,ptrace,Float64,tiny,352,6,130.90033975084938,5242.970554926387,134.6987542468856,198.66393816534537,465.2330351240676
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,ptrace,Float64,medium,9424,42,1850.7,119203.2,1996,2610.3062600000003,5865.890722226533
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,ptrace,Float64,small,3104,22,800.21875,25374.697916666668,847.65625,1086.0734833333331,1548.9312028472434
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,ptrace,Float64,large,49168,102,8375,1129707,9430,12780.7454,41236.46012236649
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,ptrace,Float64,huge,178368,202,33936,1544447,39780,50366.9409,79805.18413392498
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,ptrace,Complex{Float32},tiny,352,6,131.07744874715263,5420.124145785877,134.9874715261959,196.06005148063787,468.1839610493772
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,ptrace,Complex{Float32},medium,9424,42,2421.5555555555557,131986.66666666666,2545.4444444444443,3311.362522222222,6404.561554991468
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,ptrace,Complex{Float32},small,3104,22,903.9705882352941,86268.64705882352,948.1323529411765,1229.8996088235292,2691.2832851121498
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,ptrace,Complex{Float32},large,49168,102,11940,1144758,13023,16843.9982,44221.143983041795
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,ptrace,Complex{Float32},huge,178368,202,49273,1187172,51409,62583.5399,81717.11751656154
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Complex{Float64},tiny,0,0,22.579317269076306,81.37449799196787,25.022088353413654,25.60495512048193,3.656376754835288
julia,2019-05-22T16:43:13.665,1.1.0,4cf7314e485eeea418bf49d284fd7aa8e86c9e43,dot,Complex{Float64},medium,0,0,2295.1111111111113,11230.888888888889,2377.222222222222,2594.7662222222225,594.7909256280802
